default,SIZE,TLTA,WCTA,CLCA,NITA,BETL,EBITTA,SALESTA
0,9.147949,0.2294504,0.1704124,0.5238007,0.069463,3.358241,0.0566212,0.4262748
0,9.528284,0.5228324,-0.1840432,1.782535,0.0156374,0.9126588,0.0477761,0.8318512
0,9.535289,0.4227296,0.1465079,0.4509649,0.0363094,1.365579,0.0402939,0.7400818
0,9.53762,0.4187499,0.1301371,0.53208,0.032796,1.38806,0.0461851,0.8088232
0,9.510271,0.3870337,0.1332919,0.5116712,0.0291355,1.583755,0.044763,0.816857
0,9.493695,0.3844327,0.1509511,0.4711768,0.0142044,1.601236,0.0458758,0.8431374
0,9.540383,0.5758405,0.1132492,0.6174107,0.0343173,0.7365919,0.0421125,0.8414673
0,9.562118,0.5226875,0.0980378,0.6569403,-0.2355739,0.9131892,0.0410953,0.8008255
0,10.81546,0.0666232,0.6875111,0.0802661,0.0144705,14.00979,0.0119934,0.2412117
0,10.2767,0.4148472,0.0312859,0.8964403,0.0431466,1.410526,0.0221064,0.5727169
0,9.85605,0.5691028,-0.1197431,1.469189,0.0404927,0.7571518,0.1377378,0.4239632
0,9.928658,0.5866035,-0.1036813,1.351267,0.0528648,0.7047291,0.1090325,0.399771
0,9.873613,0.539158,-0.1864437,1.711917,0.0590832,0.8547438,0.1109829,0.4257666
0,10.31864,0.6840295,-0.138378,1.730321,0.0363779,0.4619252,0.0577065,0.2841693
0,10.24454,0.6489981,-0.1503349,1.736706,0.0230652,0.5408364,0.0474197,0.3028064
0,10.22662,0.5338144,-0.2175361,2.110191,0.0327582,0.8733102,0.0709492,0.3143605
0,9.240226,0.3604632,-0.1857989,22.7284662,0.1258974,1.774208,0.2122369,0.8858734
0,10.49095,0.6997159,-0.0249004,1.095865,-0.0065949,0.4291515,-0.0273827,0.5289385
0,10.33375,0.7738157,-0.2113889,2.067979,-0.082658,0.2922974,0.0172342,0.6919319
0,10.2969,0.7789209,-0.1819646,1.860971,0.0035412,0.2838274,0.0445533,0.6520808
0,10.19334,0.7869435,-0.1305689,1.526321,-0.0156557,0.2707392,0.0237893,0.7625592
0,10.19206,0.7593072,-0.1571477,1.583825,0.0029778,0.31699,0.0391771,0.6978498
0,10.13701,0.7137729,-0.1429538,1.564745,0.0089449,0.4010059,0.0165671,0.7424406
0,10.02517,0.650161,-0.0954436,1.342116,0.0103721,0.5380805,0.0256241,0.6830227
0,7.880704,0.6538942,-0.1682044,1.911837,0.0374188,0.5292994,0.075588,0.7055994
0,7.813887,0.5409363,-0.0611398,1.340548,0.1008917,0.8486465,0.0390622,0.7224324
0,7.792694,0.507898,-0.0323961,1.167396,0.0359294,0.9688991,0.063857,0.7396556
0,7.781473,0.5331169,-0.1283786,1.702879,-0.0182662,0.8757612,-0.0040138,0.6922937
0,7.828959,0.5244999,-0.027607,1.121099,0.0363449,0.9065781,0.0027375,0.6306639
0,7.859032,0.5934578,-0.0483934,1.181237,-0.0234334,0.6850397,0.000402,0.6321458
0,10.4039,0.5294065,0.181862,0.6638226,0.0102341,0.8889076,0.040714,0.8141105
0,10.32422,0.4460729,0.0735099,0.8255277,0.0412714,1.241786,0.0435201,0.8994478
0,10.46502,0.4693507,0.1103287,0.7503188,0.0625752,1.130603,0.0665744,0.9540399
0,10.55303,0.429444,0.1695632,0.6549124,0.1133808,1.328592,0.0796978,1.06364
0,10.65315,0.4261424,0.161075,0.6802371,0.0809367,1.346634,0.0756897,1.004698
0,10.82703,0.4676623,0.2301391,0.579555,0.048974,1.138295,0.0519469,0.8246012
0,11.07315,0.5347267,0.2965698,0.5202601,0.0676502,0.8701143,0.064294,0.7268319
0,6.343019,0.2221216,0.2849251,0.3527829,0.0466652,3.502039,0.0595389,0.5415861
0,6.35396,0.2173301,0.3301513,0.290007,0.0578189,3.601296,0.0805251,0.6625652
0,6.403782,0.246581,0.2997435,0.3368817,0.0667016,3.055462,0.1075028,0.7647377
0,6.61027,0.389854,0.3847312,0.2545355,0.0593098,1.565063,0.0864695,0.6778453
0,6.828898,0.4516968,0.4249065,0.2334888,0.0573394,1.213875,0.0823803,0.6201735
0,7.088475,0.5079624,0.1404872,0.6516944,0.0784914,0.9686497,0.1114335,0.5336685
0,7.106236,0.4422669,0.2614007,0.4656325,0.0682656,1.261078,0.1042549,0.5854141
0,7.059827,0.4099115,0.3174562,0.4330903,0.1104483,1.439551,0.0814482,0.6011683
1,7.646984,0.7499502,0.2149377,0.7043748,0.0087478,0.3334219,0.104755,0.6051536
0,9.941545,0.4967496,-0.0713033,1.240331,0.0155554,1.013087,0.0611377,0.7217252
0,9.841982,0.40717,-0.0331977,1.125768,0.0381695,1.455977,0.0567291,0.8670726
0,9.869789,0.3742033,-0.0637938,1.235081,0.0527444,1.672344,0.0885722,0.8715397
0,9.928222,0.3470511,-0.0401305,1.160432,0.0809861,1.88142,0.1098686,0.9052391
0,9.957,0.290316,0.0324888,0.8811772,0.1012168,2.444522,0.1092316,0.9486522
0,10.04236,0.2967575,0.0823328,0.7293704,0.0720372,2.369755,0.0738836,0.8736268
0,10.18737,0.3671966,0.0993883,0.7402489,0.0579115,1.723337,0.0977812,0.8038966
0,6.42767,0.2286244,0.713038,0.1617182,0.1623371,3.373986,0.2159052,0.6929567
0,6.580135,0.2871604,0.6337309,0.2643188,0.0822268,2.482375,0.1236082,0.5861984
0,6.611454,0.284517,0.6299792,0.2454143,0.1067715,2.514728,0.1359904,0.6562653
